Variable,MAE,RMSE,R2,MAPE
QV1_AI01,0.000393268892959567,0.0005093940059692626,0.7222584668911667,14.444750178598062
QV2_AI02,0.04886093852229301,0.0643395299635155,0.40564936451715594,19.54561682321356
SV1_FI05,887.9441429963102,1110.9354477523761,0.5947408457906025,1.5019909096075554
SV2_FI06,588.6829057036165,704.5847483535794,0.28141767562668896,2.555987444862991
SV3_TI06,0.6110054080014623,0.8904797835830418,0.5305574646374305,1.4427086905385826
SV4_TI01,0.3721241008768344,0.46546228322631716,-0.06375344081506729,1.096974588096812
SV5_PI06,0.1274533582236053,0.16606841025706298,0.6719120977263466,0.7126742569269459
SV6_AT02,0.05121959672252105,0.06386492754939396,0.22529230402513312,8.857998791175877
SV7_TI02,0.5893917254859874,0.7571773676726795,0.4624242689465964,1.5586788372006597
SV8_TI03,0.05093829021912733,0.06710909964285869,0.19113804141256063,0.17579588842001825
SV9_FT04,155.28054342852167,196.86674143511084,0.25803282671879535,217580826678.4512
SV10_TI04,0.0548480145422521,0.07528054092362893,-1.2543454628867003,0.22029834277909843
SV11_TI05,0.9222698486838701,1.1319827289664603,0.2885509344528976,2.204750563752283
SV12_TI07,0.3753920348847164,0.5225569723057855,0.6467044761773106,1.288131417416252
SV13_FIC02,604.502007567071,723.7298640550146,0.2799918909909934,2.9470737909400047
SV14_TI08,0.11702901621282372,0.1451611208541965,-0.4586193759108712,0.41172507572628375
SV15_TIC12,0.14137204667724013,0.1949520978652526,-0.6829558463774426,0.43500283021895997
SV16_TI09,0.08331892102247512,0.1128476489319617,-0.615778154834705,0.3394309431281513
SV17_PI04,0.023920536778330267,0.03236480986295896,-0.6115019718391028,0.20831669028531957
SV18_PIC03,0.0239326452040443,0.0323765001648109,-0.6126663443113987,0.20842200021255064
SV19_TI10,0.08333360310775521,0.11286224174526995,-0.6161960682554801,0.3394906090878794
SV20_PI05,0.12735645107722302,0.1659724051533627,0.6722913270862425,0.7121375337443145
SV21_TI11,0.8449545140571332,1.002271195874058,0.4553833249313196,1.5427438980378014
SV22_PIC02,0.0156929250229024,0.02158464853046688,-1.2548001997847322,0.1354782212103701
SV23_FIC01,1165.6147958025767,1557.855209186053,0.9319157520053019,1.3318902954318264
SV24_FIC02,13985.497127352523,18618.878392431507,-0.39219967830298264,941.1924339214232
