Variable,MAE
QV1_AI01,0.00011710859304256043
QV2_AI02,0.01948126148589011
SV1_FI05,249.4731159663039
SV2_FI06,114.08071279738779
SV3_TI06,0.14903267863823882
SV4_TI01,0.14662846613300912
SV5_PI06,0.03556970112844343
SV6_AT02,0.020743877066825296
SV7_TI02,0.16332517974048788
SV8_TI03,0.017318034225528373
SV9_FT04,36.7469652945959
SV10_TI04,0.015550578039898382
SV11_TI05,0.2243007633413534
SV12_TI07,0.07890971116934986
SV13_FIC02,116.15937458777991
SV14_TI08,0.024217045062103496
SV15_TIC12,0.05145228439712789
SV16_TI09,0.025031376937199826
SV17_PI04,0.007218204223785988
SV18_PIC03,0.00723059581698813
SV19_TI10,0.025027769483572153
SV20_PI05,0.036036371214916145
SV21_TI11,0.16382677667477863
SV22_PIC02,0.004510460884276157
SV23_FIC01,452.5182687468351
SV24_FIC02,3676.459182298374
