Variable,MAE,RMSE,R2,MAPE
QV1_AI01,0.000223021,0.000288554,0.91127103,8.50648344
QV2_AI02,0.034700345,0.047869685,0.67017227,12.54799811
SV1_FI05,361.9554237,486.090232,0.922124978,0.607032455
SV2_FI06,202.3941024,264.0411959,0.898681723,0.875018026
SV3_TI06,0.274791142,0.515118584,0.842347378,0.647256527
SV4_TI01,0.236427646,0.298868648,0.560960421,0.69847266
SV5_PI06,0.0516794,0.072678199,0.936924598,0.287688305
SV6_AT02,0.033265789,0.042224891,0.660604993,5.579572467
SV7_TI02,0.330259122,0.466394129,0.795360027,0.877746539
SV8_TI03,0.03448755,0.045919264,0.624011721,0.119089518
SV9_FT04,72.17611994,105.3950129,0.78672229,53957404775
SV10_TI04,0.025617512,0.038678589,0.402724443,0.102928758
SV11_TI05,0.372266133,0.607588895,0.794202146,0.888774388
SV12_TI07,0.209721166,0.296687043,0.885674906,0.720327276
SV13_FIC02,207.3668884,270.8388297,0.898760854,1.006459516
SV14_TI08,0.054302756,0.070463075,0.656125573,0.190930896
SV15_TIC12,0.067139794,0.103717295,0.521794755,0.206578487
SV16_TI09,0.042160268,0.060213983,0.538214827,0.171746942
SV17_PI04,0.012063574,0.017258429,0.54006487,0.105054121
SV18_PIC03,0.011981451,0.017157663,0.545420024,0.104338982
SV19_TI10,0.042126767,0.060079358,0.540277423,0.17160839
SV20_PI05,0.051685815,0.072633418,0.937002302,0.287728019
SV21_TI11,0.286819609,0.376934982,0.922667048,0.522354853
SV22_PIC02,0.007368252,0.01115248,0.395837473,0.063623849
SV23_FIC01,537.0037282,701.0536529,0.98627747,0.628436837
SV24_FIC02,5469.424195,8259.606872,0.72493876,198.8148364
