Variable,MAE
QV1_AI01,0.0007778340448205106
QV2_AI02,0.0788925011404644
SV1_FI05,1241.3535003902373
SV2_FI06,713.5487302536995
SV3_TI06,1.020263221140726
SV4_TI01,0.5413336955881568
SV5_PI06,0.23595985527967508
SV6_AT02,0.08050808512473359
SV7_TI02,1.0246536472452226
SV8_TI03,0.08198248340690069
SV9_FT04,220.0463169247384
SV10_TI04,0.05010923043937293
SV11_TI05,1.2956891628018872
SV12_TI07,0.6706843501140826
SV13_FIC02,742.0760473114389
SV14_TI08,0.1325087186732356
SV15_TIC12,0.16371950491757314
SV16_TI09,0.10792546191176265
SV17_PI04,0.03079133753084103
SV18_PIC03,0.030772736227945883
SV19_TI10,0.10784882651825602
SV20_PI05,0.23549816711535054
SV21_TI11,1.203072239925623
SV22_PIC02,0.01466549938428546
SV23_FIC01,1487.7990614760972
SV24_FIC02,17646.6017703712
